,Unnamed: 0,ticker,time,text_file_name,past_0,past_1,past_2,past_3,past_4,past_5,past_6,past_7,past_8,past_9,past_10,past_11,past_12,past_13,past_14,past_15,past_16,past_17,past_18,past_19,past_20,past_21,past_22,past_23,past_24,past_25,past_26,past_27,past_28,past_29,future_30,future_29,future_28,future_27,future_26,future_25,future_24,future_23,future_22,future_21,future_20,future_19,future_18,future_17,future_16,future_15,future_14,future_13,future_12,future_11,future_10,future_9,future_8,future_7,future_6,future_5,future_4,future_3,future_2,future_1
0,0.0,CMC,2016-01-05,20160105_CMC,-3.9704161453171154,-4.017817728417433,-4.00172762081547,-3.995994493008661,-4.015289508332258,-3.995947801923196,-3.996072582169254,-3.975819971165517,-3.969276735403099,-4.080044781574608,-4.1032379920395,-4.078432791211539,-4.063942199033817,-4.065858660837939,-4.037949969365298,-4.0202320208669935,-3.995612938344349,-3.9893082817269168,-3.977392629748342,-4.029249801333054,-4.069053231954263,-4.052893597010569,-4.0219206377510615,-3.9838311048722983,-3.9694097894084903,-3.888843878133815,-3.8185459011785152,-3.713745137397543,-4.56173014545085,-4.4040675444984005,-3.732416989850632,-3.7499235639034834,-3.734741125801981,-3.7274233888289,-3.7239832361158696,-3.900494439046025,-3.897198785939515,-3.887092777609008,-3.921767978837447,-3.9144305748640233,-3.8976304523827454,-3.880652474712609,-3.898537957288626,-3.8790148547730032,-3.8932190520328858,-3.9148537811494566,-3.911691143358513,-3.918770231650341,-4.104148225196252,-4.072731835670017,-4.078800691052136,-4.0516197027212,-4.040551896177314,-3.977638007188126,-3.958646878484625,-3.884699558235349,-3.9026247336128703,-3.763679548152569,-3.5621348134568134,-3.3173547707985342
1,1.0,SONC,2016-01-05,20160105_SONC,-4.062884358028867,-4.047846562551237,-4.088532202813258,-4.09591975745789,-4.077547939591806,-4.069126204730708,-4.051544922785065,-4.03284851511565,-4.012796355075974,-3.990603039611664,-3.979830848502351,-3.9543728188592193,-3.952824256330454,-3.924245199667413,-3.915260754646264,-3.883057115067384,-3.898664791392659,-3.861620885882136,-3.882384156485557,-3.860333169090283,-3.830966920243841,-3.784839695114238,-4.151761936153002,-4.323203072316316,-4.321569866543999,-4.230948583110561,-4.12840770361652,-4.047850047050016,-3.878352020857184,-4.7886317988602425,-3.6272350933286903,-3.610446731433645,-3.625849104880008,-3.626617415863102,-3.6308344895556734,-3.705812596841687,-3.724001246656018,-3.703488434910995,-3.696683725716384,-3.71176904355646,-3.8976853880188274,-3.87452317073155,-3.878387393779764,-3.86118362162902,-3.8618611852958353,-3.829691714162569,-3.797446601090389,-3.795617255503228,-3.801971885032074,-3.855950846328426,-3.904988053010927,-3.922829835783861,-3.917515271897075,-3.8515238137885577,-3.8200104631325713,-3.742965367772068,-3.911685479452772,-3.944302809069465,-3.8621141483014623,-3.772509712225732
2,2.0,MSM,2016-01-06,20160106_MSM,-4.0511211567985255,-4.3610796850764295,-4.343574486653101,-4.327742084048842,-4.347697323871593,-4.328338456299117,-4.310794002291899,-4.296459744978172,-4.274874396311771,-4.306969951288737,-4.330330713625091,-4.3155312527337895,-4.288644105550799,-4.374010256579566,-4.3518156796727805,-4.503644811683328,-4.46986035694237,-4.492417962537771,-4.456843340376328,-4.413340031599999,-4.948046658437016,-5.130049919279407,-5.385557570091723,-5.441965594396433,-5.386034804639747,-5.403123318481904,-5.685613670415941,-5.543638148498763,-5.536816169830114,-5.198935601224739,-3.995310129580324,-3.9799192270882826,-3.963633711981494,-3.9471832964698295,-3.937347769158409,-3.928538752307469,-3.935649397349366,-3.92431520002659,-3.9392308005316266,-3.925075713711731,-3.900774265264775,-3.878286576629169,-3.863766512487584,-3.8461342405720567,-3.929946705584933,-3.902381009297885,-3.957898004395354,-3.9512386940088873,-3.9202614162947738,-4.0843970836002015,-4.236564053253564,-4.383068963832733,-4.327878515258293,-4.41060269019407,-4.465247063664929,-4.545958260413401,-4.468018494890346,-4.491330763605282,-4.353616233250049,-4.047141185609934
3,3.0,RECN,2016-01-06,20160106_RECN,-3.966839170612697,-3.9967407751627824,-4.108103336735331,-4.148422374503091,-4.251089948361683,-4.231760004168993,-4.244259413692845,-4.234222277333379,-4.22123348970335,-4.21974343916307,-4.218489154527011,-4.20095674666766,-4.179076729958128,-4.229766673726044,-4.2188713942566345,-4.257325629256068,-4.224905670828324,-4.296949723129727,-4.26229522606772,-4.235801298473614,-4.196035621661232,-4.146397277706995,-4.091227985497265,-4.315592811669886,-4.243531710259222,-4.422137572109847,-4.769502552266999,-4.625881869090695,-5.024870967821741,-6.505902544990802,-4.003504282140344,-3.987035279015872,-3.973640035047556,-3.96094962436026,-3.954176993995744,-3.938677789386086,-3.9198694291240654,-3.903593366208041,-3.898723494837262,-3.881149866738311,-3.904488551188997,-3.934777866277271,-3.912126142060983,-3.8842498941756096,-3.866171754710369,-3.843753619661292,-3.965836571892884,-3.929423807573007,-3.891495443725905,-3.868281271266618,-3.901712195902296,-4.020803529054724,-3.973374465531132,-3.912564407589143,-3.838982636408848,-3.757845149071244,-4.037138248156092,-4.340357952177445,-4.437585133466489,-4.224905608871938
4,4.0,BBBY,2016-01-07,20160107_BBBY,-4.050650245494497,-4.036191491384579,-4.100992555305505,-4.099517534418753,-4.085750623540402,-4.066874514587911,-4.046639066632559,-4.029112348362892,-4.006895975412419,-3.98458431667127,-4.0967395316931325,-4.122232830137582,-4.10183076213882,-4.146161781174896,-4.24086073602585,-4.266182331670948,-4.273660869636153,-4.239631519522967,-4.271989740181235,-4.2644423418019946,-4.2202301774819615,-4.17232415037144,-4.115315350842147,-4.197422232980778,-4.123102266868588,-4.032680017453345,-3.939918471955069,-3.848700285761764,-3.680727418146664,-3.591128181660124,-3.9843472913067903,-3.968592640647656,-3.983337692767868,-3.972700052643704,-3.9947594881300783,-4.009872947418242,-4.086595062569693,-4.087093329344664,-4.140873522404618,-4.120208657062531,-4.0963292096503565,-4.074611057634437,-4.048477057952812,-4.032885820605936,-4.006285635219236,-4.063156174281974,-4.041396305566022,-4.1087070880813,-4.183192934366359,-4.249790648289514,-4.252533280655267,-4.214542353799581,-4.167629200807917,-4.124751796865001,-4.064278893357368,-4.242346569303885,-4.13466176757666,-4.005879096438097,-4.4501217701878,-4.464581943218771
5,5.0,FINL,2016-01-07,20160107_FINL,-3.482420264399766,-3.693994668303541,-3.687680121503533,-3.672580267562519,-3.6814094439611686,-3.6618007355772826,-3.6555773942877168,-3.6486484182770416,-3.6322738348618007,-3.621058234573396,-3.6007700328424868,-4.074386017120062,-4.056081640835924,-4.187889392880766,-4.158600205095058,-4.169567026102353,-4.1481000497869305,-4.187318705042756,-4.149245878473239,-4.105751604633636,-4.061558323061827,-4.012343410979747,-4.001716263975519,-3.9363441797949794,-3.910325300960486,-3.8310612846961742,-3.722714237320617,-3.780650598018008,-3.65304261619653,-4.023463494596995,-3.886503935682239,-3.885652976763913,-3.88480591993846,-3.875287791468447,-3.86322891257516,-3.8463522660432217,-3.8688641585576766,-3.865850455537581,-3.912603423840804,-3.896396363846736,-3.877332761431102,-3.854381760108597,-3.8496000318132575,-3.828523453724712,-3.802504554477097,-3.77511020248483,-3.7562408482367378,-3.7998949089928784,-3.759875660605073,-3.746921461534036,-3.757599004813225,-3.820946363367043,-3.863530000481444,-3.8714522408423577,-3.9971266002998473,-3.961150552878947,-3.8529517794334542,-4.002324288837918,-4.229502649330737,-4.180912807078019
6,6.0,PKE,2016-01-07,20160107_PKE,-4.259682280528415,-4.312192179478351,-4.311088152665082,-4.302955508047079,-4.298284401703839,-4.349775357243482,-4.378631090751162,-4.366105681093108,-4.346247699749478,-4.365570524158422,-4.343006843203961,-4.324284408027385,-4.304280389785839,-4.284485360376565,-4.258876943743651,-4.22675685167651,-4.278612272239375,-4.424437981755653,-4.400400513829324,-4.364037920795876,-4.35152454869207,-4.358730879405942,-4.303921175050453,-4.258475599847538,-4.292244374551831,-4.345774998816006,-4.276606014697933,-4.13900734971873,-4.365646438778508,-4.139183085302984,-4.018590050545788,-4.011562534352765,-4.019790504740152,-4.015906704016945,-3.998058613581562,-3.985308320855046,-3.9701009064225,-3.9494388051773246,-3.929378983623785,-3.9061194405702935,-3.882340410543485,-3.866253141415823,-3.868519156058271,-3.84458947666884,-3.814933930951258,-3.837891198465397,-3.8642755916747937,-3.9676626585859824,-3.9304201883156966,-3.902773428865415,-3.860541259876817,-3.8167063253311184,-3.792994544623555,-3.7786743270258616,-4.263338200802614,-4.577633024853708,-4.470844492828403,-4.590838917870747,-4.655264676171731,-4.509674939595804
7,7.0,SNX,2016-01-07,20160107_SNX,-4.131065346739736,-4.133327632076536,-4.116623657781498,-4.101045582111955,-4.143938619913536,-4.178573826312751,-4.173187762033966,-4.175669195434262,-4.336748460713443,-4.319654910369647,-4.473973838414565,-4.464338624111115,-4.470487082575529,-4.446395053158718,-4.45830835162454,-4.444458725693962,-4.596612824422999,-4.563432449269332,-4.5282489779629085,-4.495073079791892,-4.499181148969924,-4.45721824497487,-4.401041375398853,-4.661503324693476,-4.686038128592483,-4.597047574548402,-4.488616664091,-4.350389805687435,-4.663888689399816,-4.326634510897034,-3.998691452878207,-4.000036759840248,-3.99923984110054,-3.982818419208704,-3.979424044190549,-3.959823720153324,-3.9970892596754495,-3.9987364402926233,-4.082400423221706,-4.060038052678727,-4.04563973480613,-4.031677895872185,-4.056274972205336,-4.030570454147607,-4.000386080872848,-3.992244023568215,-3.9654726041162687,-3.980717708033032,-3.960141400784866,-3.93954282296256,-3.917787145907037,-3.960419164240164,-4.020584460933904,-3.963318924280952,-3.9298069600488303,-3.843137805584592,-3.879942330021653,-3.742604963912867,-4.025673035366329,-3.932290432578267
8,8.0,INTC,2016-01-14,20160114_INTC,-4.115831744683605,-4.151291291257786,-4.16661950731178,-4.184054424761222,-4.196904710056567,-4.183027902431711,-4.283262244906927,-4.307769063303959,-4.286313135387718,-4.27829151992313,-4.276152487373502,-4.265051901449041,-4.277007593393517,-4.24850838454434,-4.218566556938125,-4.200780298089776,-4.208352717867057,-4.200477764519945,-4.313623961744586,-4.288775307742459,-4.2487090127613865,-4.342682099550093,-4.3053368407170405,-4.292495696526304,-4.215822341902463,-4.130516785054511,-4.026995896989855,-3.8882943361825903,-4.20198924027904,-5.252375554204259,-4.145547251375319,-4.172931036160327,-4.16022515522235,-4.143864041672363,-4.13886887202136,-4.131119855067883,-4.142168684071326,-4.159411614236806,-4.197409802575665,-4.174934694699698,-4.206243408689079,-4.182218144019755,-4.17712611861057,-4.148795239655363,-4.174735655456104,-4.14274166558679,-4.118286987240301,-4.17865059951541,-4.16970869422633,-4.136949085202785,-4.358764577419097,-4.323776149549002,-4.917725305718323,-4.872729717819201,-4.833095467042966,-4.90886093292792,-5.169352926988001,-5.347419416293773,-5.156681185158496,-8.302671156867204
9,9.0,PNC,2016-01-15,20160115_PNC,-4.162037454503351,-4.1458218415043655,-4.142288169694768,-4.175012737113606,-4.165892566622875,-4.149757167805008,-4.140749306210743,-4.162491721144296,-4.161342274056407,-4.139848716261652,-4.152932852735791,-4.130109257221752,-4.106536037826399,-4.096913338880623,-4.066604143608016,-4.035773540099418,-4.045276190031624,-4.010195518070808,-3.9832934079905553,-3.976764286520587,-3.944033879761685,-3.988347322694554,-4.045081651924774,-3.98922965000716,-3.985031494485325,-3.926167776217524,-3.845284291359816,-3.757680956845952,-3.5605229257866844,-4.470497273922845,-3.899982498373716,-3.8903946422960702,-3.938696961486172,-3.9712325958488,-3.9600419404363154,-3.943377806367393,-3.925210584909946,-3.9252281591852216,-3.9243564049205566,-3.901484224564058,-3.8961918858258513,-3.8756530422138606,-3.901293822327944,-3.963685853091389,-4.096361894347703,-4.072756847881333,-4.041064403365411,-4.062563028070234,-4.056411838503405,-4.033608300254242,-3.985963812436334,-4.051235552152067,-4.0008729065506685,-4.016425863473732,-3.940207168229781,-3.8592783102955712,-3.852099404714514,-4.303677214356512,-4.619314544649424,-4.274395404162332
